H2_STO3G_VQE_ideal_dist.csv
0.6
0.7
0.8
0.9
1.0
1.2
1.4
1.6
1.8
2.0
2.2
2.4
2.7
3.0
3.4
4.0
4.5
5.0
5.5
6.5
7.0
7.5
