H2_STO3G_VQE_ruido.csv
-1.8868169083408364
-1.7993448803213226
-1.7252332378986104
-1.6665733071031559
-1.5847353431392588
-1.513157823818901
-1.4469163610881495
-1.389044391329709
-1.3406284992333075
-1.2952749566687856
-1.1918017363659394
-1.0693543473031066
-1.0145074071520548
-0.9601064308932503
-0.9404134991324407
